Title,Company,Experience,Salary,Location,Posted_days_ago,Applications,Employment Type,Role,Education,B.Tech/B.E,B.Sc,BCA,M.Tech,MBA,MCA,M.Sc,Ph.D,Database,Testing,Programming,Web Development,Cloud Computing,Data-Driven Technologies,Project Management & DevOps,Analysis & BI,Mobile Development,Cybersecurity & API Management,Containers & Orchestration
software engineer,netapp,expereince,not disclosed,bengaluru,4.0,189.0, full time,blockchain quality assurance engineer,ug,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
software engineer,netapp,expereince,not disclosed,bengaluru,4.0,91.0, full time,blockchain quality assurance engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
s&c global network - ai - cg&s - data engineer consultant,accenture,expereince,not disclosed,gurugram,1.0,10.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
s&c global network - ai - cg&s - data engineer consultant,accenture,expereince,not disclosed,bengaluru,2.0,25.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
s&c global network - ai - cg&s - data engineer consultant,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
full stack developer,infogain,expereince,not disclosed,noida,30.0,991.0, full time,full stack developer,ug,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
full stack developer,it services & consulting,expereince,not disclosed,mumbai,17.0,2680.0, full time,full stack developer,both,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
full stack developer,makonis,expereince,12-22,hiring office located in bengaluru,19.0,724.0, full time,full stack developer,ug,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
full stack developer,gemini solutions,expereince,not disclosed,panchkula,30.0,2217.0, full time,full stack developer,both,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
full stack developer,codvo,expereince,not disclosed,mumbai,30.0,449.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
full stack developer - reactjs / nodejs,melvault software solutions,expereince,not disclosed,hyderabad,30.0,435.0, full time,front end developer,both,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1
job openings for fullstack developer- bangalore,leading mnc,expereince,not disclosed,bangalore rural,30.0,109.0, full time,software development - other,ug,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
full stack developer (reactjs/nodejs),next leap innovtions,expereince,not disclosed,hyderabad,30.0,49.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
full stack developer,bayone solutions,expereince,not disclosed,bengaluru,24.0,908.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
full stack developer,eximietas design,expereince,not disclosed,bhubaneswar,30.0,195.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
full stack developer,highpoints technologies india,expereince,not disclosed,bengaluru,30.0,97.0, full time,software development - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
full stack developer,xpressbees,expereince,not disclosed,pune,30.0,1673.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0
"software engineer (c/c++, filesystem)",netapp,expereince,not disclosed,bengaluru,8.0,450.0, full time,search engineer,ug,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
spinnaker developer,mapping metrics,expereince,not disclosed,pune,9.0,179.0, full time,automation developer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
ai architect,supply squad sourcing llp,expereince,15-30,hiring office located in pune,1.0,10.0, full time,nlp / dl engineering / architect,ug,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
full stack developer,inxee systems,expereince,2.25-4.5,gurugram,23.0,684.0, full time,full stack developer,ug,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0
full stack developer role for immediate joiners only,covenantminds,expereince,5.5-12,hiring office located in bengaluru,20.0,3155.0, full time,full stack developer,ug,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
software engineer,ammachi labs,expereince,not disclosed,kolkata,30.0,22792.0, full time,software development - other,both,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
palantir developer,hiring for one of our multinational corp...,expereince,not disclosed,pune,18.0,80.0, full time,other,ug,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
software engineer,amgen inc,expereince,not disclosed,hyderabad,24.0,428.0, full time,search engineer,both,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
software engineer,amgen inc,expereince,not disclosed,hyderabad,25.0,287.0, full time,search engineer,both,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
software engineer,striim engineering services,expereince,not disclosed,bengaluru,30.0,292.0, full time,blockchain quality assurance engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
crm developer,zensar,expereince,not disclosed,pune,16.0,100.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
collibra developer,leading client,expereince,not disclosed,maharashtra,17.0,20.0, full time,data warehouse developer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
software engineer (night shift),metron security,expereince,not disclosed,pune,18.0,987.0, full time,full stack developer,both,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
google adm developer,leading client,expereince,not disclosed,karnataka,24.0,127.0, full time,data warehouse developer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
software engineer - data,qube research technologies,freshers,not disclosed,mumbai,30.0,438.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
shopware developer,connect infosoft technologies pvt.ltd.,expereince,not disclosed,faridabad,30.0,206.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
data science consultant-supply chain & operations analytics 5-9 years,crescendo global,expereince,not disclosed,hyderabad,9.0,190.0, full time,data science & analytics - other,both,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
ancile inc. is filing h1b for experienced it professional.,ancile inc,expereince,5-15,hyderabad,9.0,572.0, full time,it consulting - other,both,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0
senior/principal biostatistician,avance clinical,expereince,not disclosed,kolkata,30.0,28.0, full time,statistician,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1
analytics engineer,synpulse,expereince,not disclosed,pune,22.0,113.0, full time,full stack data scientist,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
s&c global network - ai - hi tech - data science consultant,accenture,expereince,not disclosed,gurugram,17.0,49.0, full time,data science & analytics - other,both,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
data scientist,encora,expereince,not disclosed,bengaluru,30.0,87.0, full time,full stack data scientist,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
data architect,infosys,expereince,not disclosed,bengaluru,23.0,200.0, full time,data warehouse architect / consultant,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
s&c global network - ai - software & platform - gen ai - analyst,accenture,expereince,not disclosed,bengaluru,25.0,34.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
data consultant,capgemini,expereince,not disclosed,bengaluru,30.0,53.0, full time,analytics consultant,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
s&c- data and ai - cfo&ev fraud analytics (consultant),accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,analytics consultant,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
i&f decision sci practitioner specialist,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,analytics consultant,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
data engineer,accenture,expereince,not disclosed,chennai,2.0,10.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
gcp/google cloud platform developer,infosys,expereince,not disclosed,bengaluru,1.0,13.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1
gcp/google cloud platform developer,infosys,expereince,not disclosed,bengaluru,2.0,10.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1
cloud platform engineer,accenture,expereince,not disclosed,chennai,4.0,19.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1
full stack developer,oneture technologies,expereince,not disclosed,mumbai,2.0,16.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0
full stack developer,oneture technologies,expereince,not disclosed,mumbai,2.0,10.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0
llm model developer,accenture,expereince,not disclosed,bengaluru,26.0,47.0, full time,data warehouse developer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
rshiny developer,leading client,expereince,not disclosed,pune,29.0,169.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
s&c global network - ai - life sciences -data science consultant,accenture,expereince,not disclosed,mumbai,1.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
s&c global network - ai - cg&s - ml engineer consultant,accenture,expereince,not disclosed,pune,2.0,14.0, full time,nlp / dl engineering / architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - life sciences -data science manager,accenture,freshers,not disclosed,mumbai,2.0,10.0, full time,manager - data science,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
s&c global network - ai - cg&s ml engineer analyst,accenture,expereince,not disclosed,pune,2.0,10.0, full time,full stack data scientist,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - cg&s - consultant data science,accenture,expereince,not disclosed,gurugram,1.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - supply chain analytics - manager,accenture,expereince,not disclosed,mumbai,1.0,10.0, full time,analytics / bi manager,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
s&c global network - ai - cg&s - consultant data science,accenture,expereince,not disclosed,gurugram,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - cmt - consultant data science llm,accenture,expereince,not disclosed,gurugram,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
s&c global network - ai - hi tech - data science senior analyst,accenture,freshers,not disclosed,hyderabad,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
s&c global network - ai - hi tech - data science senior analyst,accenture,expereince,not disclosed,kolkata,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
business analyst,accenture,expereince,not disclosed,bengaluru,10.0,37.0, full time,business analyst,both,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
sr solution architect - data & ai,tetrahed,expereince,not disclosed,noida,10.0,166.0, full time,head - data science,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
senior data analytics engineer,chimpsatwork studios,expereince,not disclosed,chennai,10.0,437.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
data platform engineer,tetrahed,expereince,not disclosed,noida,11.0,170.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
sr analyst- data analytics,us mnc,expereince,18-20,bengaluru,11.0,1325.0, full time,data science & analytics - other,ug,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
s&c global network - ai - cg&s manager data science,accenture,expereince,not disclosed,bengaluru,1.0,10.0, full time,analytics / bi manager,both,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
ai engineer consultant,cosentia solutions pvt. ltd.,expereince,10-13,pune,1.0,10.0, full time,data science & analytics - other,ug,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
s&c global network - ai - cg&s - consultant data science,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - cg&s - consultant data science,accenture,expereince,not disclosed,bengaluru,2.0,25.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - supply chain analytics - manager,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,analytics / bi manager,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
s&c global network - ai - cg&s - ml engineer consultant,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,nlp / dl engineering / architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - cg&s ml engineer analyst,accenture,expereince,not disclosed,pune,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - supply chain analytics - manager,accenture,expereince,not disclosed,pune,2.0,10.0, full time,analytics / bi manager,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
"data eng, mgmt & governance specialist",accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
s&c global network - ai - cg&s - viz analyst data science,accenture,expereince,not disclosed,bengaluru,2.0,56.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
i&f decision sci practitioner sr analyst,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,analytics consultant,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
application lead,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,data warehouse architect / consultant,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
data scientist,capgemini,expereince,not disclosed,bengaluru,2.0,30.0, full time,data scientist,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
application developer,accenture,expereince,not disclosed,hyderabad,2.0,10.0, full time,data warehouse developer,both,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
s&c global network - ai - cg&s ml engineer analyst,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,full stack data scientist,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
s&c global network - ai - supply chain analytics - manager,accenture,expereince,not disclosed,gurugram,2.0,10.0, full time,analytics / bi manager,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
ind&func ai decision science consultant,accenture,expereince,not disclosed,hyderabad,2.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
kore.ai chatbot developer,leading client,expereince,not disclosed,pune,2.0,38.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
lead data scientist,ab2 consulting,expereince,10-17,pune,2.0,92.0, full time,data scientist,ug,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
engineering services lead,accenture,expereince,not disclosed,bengaluru,9.0,24.0, full time,technical lead,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1
application developer,accenture,expereince,not disclosed,hyderabad,10.0,10.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
cloud platform engineer,accenture,expereince,not disclosed,bengaluru,10.0,36.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1
vice president - lead analytics consultant,wells fargo,expereince,not disclosed,bengaluru,10.0,72.0, full time,head - analytics / bi,both,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
data strategy professional,capgemini,expereince,not disclosed,pune,10.0,56.0, full time,data warehouse architect / consultant,both,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
application lead,accenture,expereince,not disclosed,bengaluru,11.0,10.0, full time,technical lead,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
"data eng, mgmt & governance analyst",accenture,expereince,not disclosed,bengaluru,11.0,212.0, full time,data analyst,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
principal software engineer,leading client,expereince,not disclosed,bengaluru,12.0,45.0, full time,technical architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
sales excellence - coe - data engineering associate manager,accenture,expereince,not disclosed,mumbai,15.0,10.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
application lead,accenture,expereince,not disclosed,noida,11.0,10.0, full time,technical lead,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
application lead,accenture,expereince,not disclosed,bengaluru,11.0,10.0, full time,solution architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
gn-public services-data strategy-consultant,accenture,expereince,not disclosed,gurugram,12.0,10.0, full time,associate / consultant,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
full stack developer,everest vacuum,expereince,not disclosed,bengaluru,3.0,10.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ai full stack developer,pronix it solutions,expereince,not disclosed,hyderabad,4.0,65.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0
software engineer (golang),epam systems,expereince,not disclosed,hyderabad,1.0,10.0, full time,search engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
software engineer (golang),epam systems,expereince,not disclosed,bengaluru,1.0,10.0, full time,search engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
software engineer,netapp,expereince,not disclosed,bengaluru,1.0,43.0, full time,software development - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
software engineer - odoo,flexsin technologies,expereince,not disclosed,noida,2.0,30.0, full time,blockchain quality assurance engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
robotics software engineer,drishti works,expereince,not disclosed,mumbai,2.0,10.0, full time,blockchain quality assurance engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
sim applets developer,gavs technologies,expereince,not disclosed,pune,1.0,10.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
developer,trellix,expereince,not disclosed,bengaluru,1.0,19.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
software engineer - b,capgemini,expereince,not disclosed,chennai,2.0,11.0, full time,search engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
apigee developer,leading client,expereince,not disclosed,pune,2.0,105.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
urgently hiring for data scientist - globant,globant,expereince,not disclosed,hyderabad,4.0,407.0, full time,data scientist,ug,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"manager, data and analytics (financial services)",rsm us in india,expereince,not disclosed,hyderabad,17.0,50.0, full time,nlp / dl engineering / architect,both,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
"director, data and analytics (financial services)",rsm us in india,expereince,not disclosed,hyderabad,18.0,340.0, full time,head - data science,both,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
data scientist large language models specialist,upswing cognitive hospitality solutions private li mited,expereince,5-8,pune,18.0,660.0, full time,data scientist,ug,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sr. java full stack developer,wits innovation lab,expereince,not disclosed,bengaluru,23.0,61.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1
lead data scientist,ab2 consulting,expereince,10-17,pune,3.0,88.0, full time,data scientist,ug,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
data scientist,ab2 consulting,expereince,8-10,pune,3.0,753.0, full time,data scientist,ug,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
data scientist,ab2 consulting,expereince,8-10,pune,3.0,645.0, full time,data scientist,ug,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
ml ops engineer,capgemini,expereince,not disclosed,pune,4.0,20.0, full time,machine learning engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
in_senior associate _gcp developer _data & analytics _advisory _mumbai,pwc service delivery center,expereince,not disclosed,mumbai,30.0,57.0, full time,data science & analytics - other,both,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
open network for digital commerce (ondc),revalsys technologies,expereince,not disclosed,hyderabad,19.0,121.0, full time,database administrator,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
associate is engineer,amgen inc,expereince,not disclosed,hyderabad,25.0,132.0, full time,blockchain quality assurance engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
senior associate cloud data engineer-- data and analytics,pwc service delivery center,expereince,not disclosed,bengaluru,25.0,54.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
senior associate _gcp developer _data & analytics _advisory _ahmedabad,pwc service delivery center,expereince,not disclosed,ahmedabad,30.0,40.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
data platform engineer,accenture,expereince,not disclosed,bengaluru,26.0,24.0, full time,data engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
"senior manager, information systems - data & analytics",amgen inc,expereince,not disclosed,hyderabad,30.0,38.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
senior engineer,deutsche bank,expereince,not disclosed,pune,30.0,1399.0, full time,technical lead,both,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
account manager,coralogix,expereince,not disclosed,bengaluru,30.0,11.0, full time,key account manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
application lead,accenture,expereince,not disclosed,hyderabad,18.0,19.0, full time,solution architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
associate sw bus systems,northern trust,expereince,not disclosed,pune,30.0,10.0, full time,search engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
application developer,accenture,expereince,not disclosed,kolkata,26.0,10.0, full time,data warehouse developer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
business process architect,accenture,expereince,not disclosed,bengaluru,26.0,10.0, full time,principal consultant,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1
business process architect,accenture,expereince,not disclosed,bengaluru,26.0,10.0, full time,solution architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
software development engineer,accenture,expereince,not disclosed,bengaluru,26.0,26.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1
zelis - data engineer - c1,leading client,freshers,not disclosed,maharashtra,29.0,35.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
google cloud/kafka/kong/apigee-associate consultant,infosys,expereince,not disclosed,bengaluru,29.0,50.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1
google cloud/kafka/kong/apigee-consultant,infosys,expereince,not disclosed,pune,29.0,40.0, full time,solution architect,both,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
senior technical recruiter,absika solutions,expereince,not disclosed,hyderabad,16.0,380.0, full time,it recruiter,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
software engineer,netapp,expereince,not disclosed,bengaluru,3.0,13.0, full time,software development - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
